SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75094-1",241226,5,"Black","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/241226.jpg",623
"75094-1",243226,2,"Black","System",2432,"Clamp 1X2","http://cache.lego.com/media/bricks/5/2/243226.jpg",244
"75094-1",302326,4,"Black","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/302326.jpg",1071
"75094-1",303926,1,"Black","System",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/2/303926.jpg",298
"75094-1",306926,2,"Black","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/306926.jpg",484
"75094-1",362326,4,"Black","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/362326.jpg",485
"75094-1",366626,2,"Black","System",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/2/366626.jpg",609
"75094-1",389526,1,"Black","System",3895,"Brick 1X12, Ø4,9","http://cache.lego.com/media/bricks/5/2/389526.jpg",102
"75094-1",407926,3,"Black","System",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/2/407926.jpg",92
"75094-1",4185583,1,"Black","System",30363,"Roof Tile 2X4X1, 18°","http://cache.lego.com/media/bricks/5/2/4185583.jpg",56
"75094-1",4185620,2,"Black","System",44567,"Plate 1X2 W. Stub/Vertical","http://cache.lego.com/media/bricks/5/2/4185620.jpg",87
"75094-1",4498713,2,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75094-1",4504382,2,"Black","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/4504382.jpg",409
"75094-1",4515340,2,"Black","System",60471,"Plate 1X2 W/Fork, Vertical","http://cache.lego.com/media/bricks/5/2/4515340.jpg",86
"75094-1",4558209,1,"Black","System",60581,"Wall Element 1X4X3, Abs","http://cache.lego.com/media/bricks/5/2/4558209.jpg",57
"75094-1",4565323,1,"Black","System",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/2/4565323.jpg",134
"75094-1",4609050,2,"Black","System",92738,"Blaster Small","http://cache.lego.com/media/bricks/5/2/4609050.jpg",98
