SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75095-1",235726,4,"Black","System",2357,"Brick Corner 1X2X2","http://cache.lego.com/media/bricks/5/2/235726.jpg",157
"75095-1",243126,8,"Black","System",2431,"Flat Tile 1X4","http://cache.lego.com/media/bricks/5/2/243126.jpg",476
"75095-1",281726,2,"Black","System",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/2/281726.jpg",203
"75095-1",300126,2,"Black","System",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/2/300126.jpg",563
"75095-1",300326,1,"Black","System",3003,"Brick 2X2","http://cache.lego.com/media/bricks/5/2/300326.jpg",557
"75095-1",300526,4,"Black","System",3005,"Brick 1X1","http://cache.lego.com/media/bricks/5/2/300526.jpg",449
"75095-1",302026,13,"Black","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/302026.jpg",913
"75095-1",302126,5,"Black","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/302126.jpg",683
"75095-1",302226,4,"Black","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/302226.jpg",892
"75095-1",302326,10,"Black","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/302326.jpg",1071
"75095-1",302826,4,"Black","System",3028,"Plate 6X12","http://cache.lego.com/media/bricks/5/2/302826.jpg",80
"75095-1",302926,8,"Black","System",3029,"Plate 4X12","http://cache.lego.com/media/bricks/5/2/302926.jpg",109
"75095-1",303426,4,"Black","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/303426.jpg",447
"75095-1",303726,2,"Black","System",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/2/303726.jpg",127
"75095-1",306926,10,"Black","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/306926.jpg",484
"75095-1",346026,1,"Black","System",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/2/346026.jpg",386
"75095-1",362326,8,"Black","System",3623,"Plate 1X3","http://cache.lego.com/media/bricks/5/2/362326.jpg",485
"75095-1",370326,2,"Black","System",3703,"Brick 1X16, Ø4,9","http://cache.lego.com/media/bricks/5/2/370326.jpg",134
"75095-1",371026,32,"Black","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/371026.jpg",883
"75095-1",416226,24,"Black","System",4162,"Flat Tile 1X8","http://cache.lego.com/media/bricks/5/2/416226.jpg",248
