SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75096-1",73587,3,"Black","System",73587,"Mini Antenna Ass.Bla/Bla","http://cache.lego.com/media/bricks/5/2/73587.jpg",136
"75096-1",241226,3,"Black","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/241226.jpg",623
"75096-1",244526,2,"Black","System",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/2/244526.jpg",233
"75096-1",301026,8,"Black","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/301026.jpg",492
"75096-1",302226,2,"Black","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/302226.jpg",892
"75096-1",303926,3,"Black","System",3039,"Roof Tile 2X2/45°","http://cache.lego.com/media/bricks/5/2/303926.jpg",298
"75096-1",346026,2,"Black","System",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/2/346026.jpg",386
"75096-1",366026,2,"Black","System",3660,"Roof Tile 2X2/45° Inv.","http://cache.lego.com/media/bricks/5/2/366026.jpg",332
"75096-1",368026,1,"Black","System",3680,"Turn Plate 2X2, Lower Part","http://cache.lego.com/media/bricks/5/2/368026.jpg",216
"75096-1",371026,7,"Black","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/371026.jpg",883
"75096-1",373826,2,"Black","System",3738,"Plate 2X8 W. Holes","http://cache.lego.com/media/bricks/5/2/373826.jpg",99
"75096-1",379526,2,"Black","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/379526.jpg",687
"75096-1",389426,2,"Black","System",3894,"Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/2/389426.jpg",169
"75096-1",389526,2,"Black","System",3895,"Brick 1X12, Ø4,9","http://cache.lego.com/media/bricks/5/2/389526.jpg",102
"75096-1",403226,6,"Black","System",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/2/403226.jpg",436
"75096-1",407926,1,"Black","System",4079,"Seat 2X2X2","http://cache.lego.com/media/bricks/5/2/407926.jpg",92
"75096-1",474026,6,"Black","System",4740,"Parabola Ø16","http://cache.lego.com/media/bricks/5/2/474026.jpg",200
"75096-1",614126,5,"Black","System",6141,"Round Plate 1X1","http://cache.lego.com/media/bricks/5/2/614126.jpg",704
"75096-1",3200126,2,"Black","System",32001,"1Plate 2X6 W. Holes","http://cache.lego.com/media/bricks/5/2/3200126.jpg",113
"75096-1",4144025,4,"Black","System",32531,"4X6 Brick, Ø 4,85","http://cache.lego.com/media/bricks/5/2/4144025.jpg",63
"75096-1",4243819,1,"Black","System",3031,"Plate 4X4","http://cache.lego.com/media/bricks/5/2/4243819.jpg",332
