SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75100-1",241226,13,"Black","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/241226.jpg",623
"75100-1",302226,3,"Black","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/302226.jpg",892
"75100-1",306826,2,"Black","System",3068,"Flat Tile 2X2","http://cache.lego.com/media/bricks/5/2/306826.jpg",430
"75100-1",370026,2,"Black","System",3700,"Technic Brick 1X2, Ø4.9","http://cache.lego.com/media/bricks/5/2/370026.jpg",354
"75100-1",370226,2,"Black","System",3702,"Technic Brick 1X8","http://cache.lego.com/media/bricks/5/2/370226.jpg",194
"75100-1",374726,1,"Black","System",3747,"Roof Tile 2X3/25° Inv.","http://cache.lego.com/media/bricks/5/2/374726.jpg",179
"75100-1",393726,5,"Black","System",3937,"Rocker Bearing 1X2","http://cache.lego.com/media/bricks/5/2/393726.jpg",236
"75100-1",393826,1,"Black","System",3938,"Plate 1X2 (Rocking)","http://cache.lego.com/media/bricks/5/2/393826.jpg",188
"75100-1",4205760,1,"Black","System",3743,"Toothed Bar M=1, Z=10","http://cache.lego.com/media/bricks/5/2/4205760.jpg",46
"75100-1",4498713,2,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75100-1",4500978,2,"Black","System",6233,"Rocket Step 3X3X2 W. Cross","http://cache.lego.com/media/bricks/5/2/4500978.jpg",39
"75100-1",4504382,2,"Black","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/4504382.jpg",409
"75100-1",4523339,1,"Black","System",4595,"Motor 1X2X2/3","http://cache.lego.com/media/bricks/5/2/4523339.jpg",80
"75100-1",4538456,1,"Black","System",64644,"Stick Ø3.2 2Mm W/Knob And Tube","http://cache.lego.com/media/bricks/5/2/4538456.jpg",149
"75100-1",4565323,3,"Black","System",87580,"Plate 2X2 W 1 Knob","http://cache.lego.com/media/bricks/5/2/4565323.jpg",134
"75100-1",4598528,4,"Black","System",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/2/4598528.jpg",227
"75100-1",4598897,2,"Black","System",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/2/4598897.jpg",143
