SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75060-1",241226,3,"Black","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/241226.jpg",623
"75060-1",244526,4,"Black","System",2445,"Plate 2X12","http://cache.lego.com/media/bricks/5/2/244526.jpg",233
"75060-1",246526,1,"Black","System",2465,"Brick 1X16","http://cache.lego.com/media/bricks/5/2/246526.jpg",70
"75060-1",255526,17,"Black","System",2555,"Plate 1X1 W. Up Right Holder","http://cache.lego.com/media/bricks/5/2/255526.jpg",364
"75060-1",273026,4,"Black","System",2730,"Technic Brick 1X10 Ø4.9","http://cache.lego.com/media/bricks/5/2/273026.jpg",149
"75060-1",300126,2,"Black","System",3001,"Brick 2X4","http://cache.lego.com/media/bricks/5/2/300126.jpg",563
"75060-1",300226,2,"Black","System",3002,"Brick 2X3","http://cache.lego.com/media/bricks/5/2/300226.jpg",345
"75060-1",301026,4,"Black","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/301026.jpg",492
"75060-1",302026,3,"Black","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/302026.jpg",913
"75060-1",302126,2,"Black","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/302126.jpg",683
"75060-1",302326,8,"Black","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/302326.jpg",1071
"75060-1",302426,4,"Black","System",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/2/302426.jpg",351
"75060-1",303426,1,"Black","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/303426.jpg",447
"75060-1",303526,2,"Black","System",3035,"Plate 4X8","http://cache.lego.com/media/bricks/5/2/303526.jpg",225
"75060-1",303626,1,"Black","System",3036,"Plate 6X8","http://cache.lego.com/media/bricks/5/2/303626.jpg",142
"75060-1",306926,2,"Black","System",3069,"Flat Tile 1X2","http://cache.lego.com/media/bricks/5/2/306926.jpg",484
"75060-1",366626,15,"Black","System",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/2/366626.jpg",609
