SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75077-1",281726,1,"Black","System",2817,"Technic Doub. Bearing Pl. 2X2","http://cache.lego.com/media/bricks/5/2/281726.jpg",203
"75077-1",302326,1,"Black","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/302326.jpg",1071
"75077-1",4498713,1,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75077-1",6116604,4,"Black","System",21462,"Light Sword - Blade","http://cache.lego.com/media/bricks/5/2/6116604.jpg",123
"75077-1",6117973,2,"Black","System",21712,"Angle Plate 1X2 / 2X2","http://cache.lego.com/media/bricks/5/2/6117973.jpg",168
"75077-1",4121715,4,"Black","Technic",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/2/4121715.jpg",1828
"75077-1",4526982,4,"Black","Technic",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/2/4526982.jpg",145
"75077-1",4143005,4,"Bright Blue","Technic",4274,"Connector Peg W. Knob","http://cache.lego.com/media/bricks/5/2/4143005.jpg",643
"75077-1",4206482,4,"Bright Blue","Technic",43093,"Conn.Bush W.Fric./Crossale","http://cache.lego.com/media/bricks/5/2/4206482.jpg",1261
"75077-1",6035574,1,"Dark Orange","System (Figure Part)",30378,"Space Skeleton Head","http://cache.lego.com/media/bricks/5/2/6035574.jpg",8
"75077-1",6035606,1,"Dark Orange","System (Figure Part)",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/2/6035606.jpg",7
"75077-1",6035607,1,"Dark Orange","System (Figure Part)",30377,"Space Skeleton Arm","http://cache.lego.com/media/bricks/5/2/6035607.jpg",7
"75077-1",6035610,1,"Dark Orange","System (Figure Part)",59230,"Space  Arm, Angled H.","http://cache.lego.com/media/bricks/5/2/6035610.jpg",4
"75077-1",6035614,1,"Dark Orange","System (Figure Part)",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/2/6035614.jpg",6
"75077-1",4210631,4,"Dark Stone Grey","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4210631.jpg",501
"75077-1",4210660,1,"Dark Stone Grey","System",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/2/4210660.jpg",304
