SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75080-1",287726,2,"Black","System",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/2/287726.jpg",161
"75080-1",303426,2,"Black","System",3034,"Plate 2X8","http://cache.lego.com/media/bricks/5/2/303426.jpg",447
"75080-1",4159550,2,"Black","System",30505,"Corner Brick 45 Deg. 3X3","http://cache.lego.com/media/bricks/5/2/4159550.jpg",28
"75080-1",4498713,1,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75080-1",4517986,1,"Black","System",61485,"Bottom W. Turntable 4X4","http://cache.lego.com/media/bricks/5/2/4517986.jpg",165
"75080-1",4598897,2,"Black","System",64567,"Light Sword Shaft","http://cache.lego.com/media/bricks/5/2/4598897.jpg",143
"75080-1",4609050,1,"Black","System",92738,"Blaster Small","http://cache.lego.com/media/bricks/5/2/4609050.jpg",98
"75080-1",6081988,1,"Black","System",18274,"Stick 6M W/Flange","http://cache.lego.com/media/bricks/5/2/6081988.jpg",198
"75080-1",6093525,2,"Black","System",17715,"Shaft 3M Ø3.2","http://cache.lego.com/media/bricks/5/2/6093525.jpg",90
"75080-1",4107828,2,"Black","Technic",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/2/4107828.jpg",219
"75080-1",4109810,1,"Black","Technic",32062,"2M Cross Axle W. Groove","http://cache.lego.com/media/bricks/5/2/4109810.jpg",548
"75080-1",4119589,2,"Black","Technic",32138,"Module Bush","http://cache.lego.com/media/bricks/5/2/4119589.jpg",212
"75080-1",4121715,5,"Black","Technic",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/2/4121715.jpg",1828
"75080-1",4140801,2,"Black","Technic",32054,"2M Fric. Snap W/Cross Hole","http://cache.lego.com/media/bricks/5/2/4140801.jpg",380
"75080-1",4512363,2,"Black","Technic",59443,"Cross Axle, Extension, 2M","http://cache.lego.com/media/bricks/5/2/4512363.jpg",261
"75080-1",4109995,2,"Brick Yellow","System",3004,"Brick 1X2","http://cache.lego.com/media/bricks/5/2/4109995.jpg",292
"75080-1",4113233,2,"Brick Yellow","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4113233.jpg",233
"75080-1",4113916,5,"Brick Yellow","System",3010,"Brick 1X4","http://cache.lego.com/media/bricks/5/2/4113916.jpg",179
"75080-1",4113917,4,"Brick Yellow","System",3023,"Plate 1X2","http://cache.lego.com/media/bricks/5/2/4113917.jpg",372
"75080-1",4113993,1,"Brick Yellow","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/4113993.jpg",166
"75080-1",4114001,1,"Brick Yellow","System",3032,"Plate 4X6","http://cache.lego.com/media/bricks/5/2/4114001.jpg",116
"75080-1",4114084,2,"Brick Yellow","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/4114084.jpg",256
"75080-1",4118790,5,"Brick Yellow","System",3021,"Plate 2X3","http://cache.lego.com/media/bricks/5/2/4118790.jpg",197
"75080-1",4124456,3,"Brick Yellow","System",2412,"Radiator Grille 1X2","http://cache.lego.com/media/bricks/5/2/4124456.jpg",56
"75080-1",4125220,4,"Brick Yellow","System",6143,"Brick Ø16 W. Cross","http://cache.lego.com/media/bricks/5/2/4125220.jpg",61
"75080-1",4140562,1,"Brick Yellow","System",4032,"Plate 2X2 Round","http://cache.lego.com/media/bricks/5/2/4140562.jpg",114
