SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75082-1",241926,4,"Black","System",2419,"Corner Plate 3X6","http://cache.lego.com/media/bricks/5/2/241926.jpg",122
"75082-1",302026,4,"Black","System",3020,"Plate 2X4","http://cache.lego.com/media/bricks/5/2/302026.jpg",913
"75082-1",302226,3,"Black","System",3022,"Plate 2X2","http://cache.lego.com/media/bricks/5/2/302226.jpg",892
"75082-1",303726,2,"Black","System",3037,"Roof Tile 2X4/45°","http://cache.lego.com/media/bricks/5/2/303726.jpg",127
"75082-1",306226,4,"Black","System",3062,"Round Brick 1X1","http://cache.lego.com/media/bricks/5/2/306226.jpg",384
"75082-1",366626,2,"Black","System",3666,"Plate 1X6","http://cache.lego.com/media/bricks/5/2/366626.jpg",609
"75082-1",370126,4,"Black","System",3701,"Technic Brick 1X4, Ø4,9","http://cache.lego.com/media/bricks/5/2/370126.jpg",238
"75082-1",371026,2,"Black","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/371026.jpg",883
"75082-1",379526,2,"Black","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/379526.jpg",687
"75082-1",4180508,4,"Black","System",43722,"Right Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/2/4180508.jpg",114
"75082-1",4180536,4,"Black","System",43723,"Left Plate 2X3 W/Angle","http://cache.lego.com/media/bricks/5/2/4180536.jpg",117
"75082-1",4225201,8,"Black","System",48336,"Plate 1X2 W. Stick 3.18","http://cache.lego.com/media/bricks/5/2/4225201.jpg",361
"75082-1",4278359,12,"Black","System",2654,"Slide Shoe Round 2X2","http://cache.lego.com/media/bricks/5/2/4278359.jpg",295
"75082-1",4504382,2,"Black","System",54200,"Roof Tile 1X1X2/3, Abs","http://cache.lego.com/media/bricks/5/2/4504382.jpg",409
"75082-1",4598528,4,"Black","System",92280,"Plate 1X2 W. Vertical Grip","http://cache.lego.com/media/bricks/5/2/4598528.jpg",227
