SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"75086-1",379526,1,"Black","System",3795,"Plate 2X6","http://cache.lego.com/media/bricks/5/2/379526.jpg",687
"75086-1",4140588,1,"Black","System",2540,"Plate 1X2 W. Stick","http://cache.lego.com/media/bricks/5/2/4140588.jpg",391
"75086-1",4498713,12,"Black","System",58247,"Blaster Medium","http://cache.lego.com/media/bricks/5/2/4498713.jpg",151
"75086-1",6178922,4,"Black","System",31493,"Brick 1X2 With Cross Hole","http://cache.lego.com/media/bricks/5/2/6178922.jpg",60
"75086-1",370526,2,"Black","Technic",3705,"Cross Axle 4M","http://cache.lego.com/media/bricks/5/2/370526.jpg",995
"75086-1",4107828,1,"Black","Technic",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/2/4107828.jpg",219
"75086-1",4121715,26,"Black","Technic",2780,"Connector Peg W. Friction","http://cache.lego.com/media/bricks/5/2/4121715.jpg",1828
"75086-1",4198367,2,"Black","Technic",45590,"Damper 2M","http://cache.lego.com/media/bricks/5/2/4198367.jpg",108
"75086-1",4560174,2,"Black","Technic",87082,"Double Bush 3M Ø4.9","http://cache.lego.com/media/bricks/5/2/4560174.jpg",61
"75086-1",4261885,16,"Brick Yellow","System (Figure Part)",30377,"Space Skeleon Arm","http://cache.lego.com/media/bricks/5/2/4261885.jpg",57
"75086-1",4262538,12,"Brick Yellow","System (Figure Part)",30375,"Space Skeleton Body","http://cache.lego.com/media/bricks/5/2/4262538.jpg",47
"75086-1",4508093,12,"Brick Yellow","System (Figure Part)",59230,"Space  Arm, Angled H.","http://cache.lego.com/media/bricks/5/2/4508093.jpg",40
"75086-1",4545336,14,"Brick Yellow","System (Figure Part)",30378,"Space Skeleton Head","http://cache.lego.com/media/bricks/5/2/4545336.jpg",48
"75086-1",4614619,1,"Brick Yellow","System (Figure Part)",94378,"Gungan No. 2","http://cache.lego.com/media/bricks/5/2/4614619.jpg",4
"75086-1",6029182,14,"Brick Yellow","System (Figure Part)",30376,"Space Skeleton Leg","http://cache.lego.com/media/bricks/5/2/6029182.jpg",52
"75086-1",4666579,5,"Brick Yellow","Technic",6562,"Connector Peg/Cross Axle","http://cache.lego.com/media/bricks/5/2/4666579.jpg",687
"75086-1",4614789,2,"Bright Blue","System (Figure Part)",94401,"Space Skeleton Body 'Driver'","http://cache.lego.com/media/bricks/5/2/4614789.jpg",9
"75086-1",4514553,6,"Bright Blue","Technic",6558,"Connector Peg W. Friction 3M","http://cache.lego.com/media/bricks/5/2/4514553.jpg",642
"75086-1",6107281,1,"Dark Brown","System (Figure Part)",76382,"Mini Upper Part No 2956","http://cache.lego.com/media/bricks/5/2/6107281.jpg",1
"75086-1",4210636,4,"Dark Stone Grey","System",2877,"Profile Brick 1X2","http://cache.lego.com/media/bricks/5/2/4210636.jpg",210
"75086-1",4210697,1,"Dark Stone Grey","System",30526,"Brick 1X2 W. Double Snap","http://cache.lego.com/media/bricks/5/2/4210697.jpg",71
"75086-1",4210718,2,"Dark Stone Grey","System",6249,"Bearing Element 2X4 W.D. Snap","http://cache.lego.com/media/bricks/5/2/4210718.jpg",51
"75086-1",4210719,4,"Dark Stone Grey","System",3024,"Plate 1X1","http://cache.lego.com/media/bricks/5/2/4210719.jpg",209
"75086-1",4210762,2,"Dark Stone Grey","System",32000,"Brick 1X2 M. 2 Holes Ø 4,87","http://cache.lego.com/media/bricks/5/2/4210762.jpg",187
"75086-1",4210763,2,"Dark Stone Grey","System",32530,"T-Beam W. Plate 1X2 W. Tube","http://cache.lego.com/media/bricks/5/2/4210763.jpg",172
"75086-1",4210917,2,"Dark Stone Grey","System",3894,"Technic Brick 1X6, Ø4,9","http://cache.lego.com/media/bricks/5/2/4210917.jpg",106
"75086-1",4210998,2,"Dark Stone Grey","System",3460,"Plate 1X8","http://cache.lego.com/media/bricks/5/2/4210998.jpg",272
"75086-1",4211001,4,"Dark Stone Grey","System",3710,"Plate 1X4","http://cache.lego.com/media/bricks/5/2/4211001.jpg",524
